 lat lon order_time pizza_amount shoarma_amount burger_amount fries_amount snack_amount french_amount spanish_amount italian_amount greek_amount german_amount african_amount mexican_amount argentine_amount indian_amount chinese_amount sushi_amount luxe_amount
0 48.8614265641 2.3422385032 13:36:55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0
1 48.8475208668 2.3054325592 13:52:03 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 48.8644437059 2.3642827774 13:59:43 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
3 48.8877295426 2.3457376259 14:12:23 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0
4 48.8646546540 2.3925969972 14:24:51 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0
5 48.8310982549 2.3608611714 14:42:05 4 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0
6 48.8405458276 2.2603170726 14:49:52 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0
7 48.8644385167 2.3409939034 14:53:38 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0
8 48.8480863453 2.4035401588 14:54:46 0 0 0 1 0 0 0 4 0 0 0 0 0 0 0 0 0
9 48.8693114664 2.3911738853 14:55:09 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
10 48.8858264147 2.3683440716 14:56:06 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
11 48.8351780666 2.3488461791 14:57:26 0 4 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
12 48.8788223574 2.3468852979 15:02:51 0 0 0 4 0 2 0 0 0 0 0 0 0 0 0 0 0
13 48.8590005326 2.3679786844 15:05:13 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
14 48.8442083806 2.3716143646 15:06:44 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
15 48.8853964389 2.2947392472 15:12:54 0 1 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0
16 48.8284834261 2.3502779155 15:17:32 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0
17 48.8733615865 2.3739241720 15:17:58 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0
