 lat lon order_time pizza_amount shoarma_amount burger_amount fries_amount snack_amount french_amount spanish_amount italian_amount greek_amount german_amount african_amount mexican_amount argentine_amount indian_amount chinese_amount sushi_amount luxe_amount
0 48.8469178474 2.3744573158 16:57:21 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
1 48.8713174754 2.3072193550 16:58:07 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0
2 48.8365986603 2.3847469306 17:06:20 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0
3 48.8754812507 2.2867385464 17:06:32 0 0 0 6 0 0 0 0 0 1 0 0 0 0 0 0 0
4 48.8329491388 2.3150157197 17:09:12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0
5 48.8803411790 2.3939302017 17:21:58 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1
6 48.8305390359 2.3208690155 17:24:24 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0
7 48.8931295087 2.3619799478 17:28:45 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 0
8 48.8654306918 2.3480508781 17:29:19 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0
9 48.8893910250 2.3491119947 17:31:11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0
10 48.8901475419 2.3223379144 17:38:37 0 0 0 3 0 0 0 0 4 0 0 0 0 0 0 0 0
11 48.8888598826 2.2990807906 17:43:11 0 0 0 3 0 0 0 0 4 0 0 0 0 0 0 0 0
12 48.8723215833 2.3638191472 17:51:24 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0
13 48.8372054524 2.2914763675 17:52:01 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0
14 48.8854185004 2.3130033278 17:52:44 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0
15 48.8405141842 2.3978465952 17:56:57 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1
16 48.8878922937 2.3418102038 17:59:03 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0
17 48.8650267843 2.4060377513 18:01:30 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0
18 48.8450965251 2.3398237033 18:02:02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
19 48.8704681109 2.2968321651 18:05:41 0 0 0 2 0 0 0 0 4 0 0 0 0 0 0 0 0
20 48.8652392972 2.3024593492 18:05:42 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0
21 48.8589326182 2.3524081619 18:07:12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0
22 48.8366412900 2.3876481968 18:07:21 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1
23 48.8513020405 2.3387771655 18:10:17 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0
24 48.8955469085 2.3307594162 18:10:22 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0
