 lat lon order_time pizza_amount shoarma_amount burger_amount fries_amount snack_amount french_amount spanish_amount italian_amount greek_amount german_amount african_amount mexican_amount argentine_amount indian_amount chinese_amount sushi_amount luxe_amount
0 48.8928068725 2.3846921908 11:46:20 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 48.8380016489 2.3473844492 12:57:32 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0
2 48.8566556350 2.3964773970 13:33:42 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
3 48.8867319757 2.3590288284 13:41:02 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 48.8645632657 2.3579921677 13:49:22 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0
5 48.8894965381 2.3189502219 13:50:16 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0
6 48.8803409965 2.3903960931 14:13:15 0 0 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0
7 48.8661117814 2.2984975820 14:16:10 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
8 48.8494228974 2.2746483368 14:18:13 0 0 0 4 0 8 0 0 0 0 0 0 0 0 0 0 0
9 48.8629051985 2.4034510898 14:19:01 0 0 0 4 0 8 0 0 0 0 0 0 0 0 0 0 0
10 48.8467143531 2.2996817135 14:19:28 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0
11 48.8699674179 2.3562310146 14:21:25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
12 48.8464944171 2.3056990702 14:22:02 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
13 48.8273550878 2.3454145168 14:22:17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
14 48.8487222873 2.3018293113 14:38:22 3 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
15 48.8827389380 2.3623541614 14:38:46 2 0 0 3 0 3 0 0 0 0 0 0 0 0 0 0 0
16 48.8226334375 2.3719216998 14:39:16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0
17 48.8870762743 2.3529126516 14:42:36 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
18 48.8405678065 2.3123811991 14:43:50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0
19 48.8954358936 2.3605903516 14:44:40 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
20 48.8570900620 2.2745713922 14:45:23 0 0 0 0 0 0 0 0 0 0 0 3 2 0 0 0 1
21 48.8517101785 2.3372724046 14:47:56 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
22 48.8594307670 2.3733414033 14:48:06 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0
23 48.8738107776 2.3859823737 14:50:06 0 0 0 1 0 0 0 0 3 0 0 0 0 0 0 0 0
24 48.8678544175 2.3446219714 14:53:03 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
25 48.8600793097 2.3495114598 14:53:03 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 3
26 48.8867076986 2.2930322077 14:54:03 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0
27 48.8572284951 2.3788629322 14:54:42 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0
28 48.8440131517 2.3964982181 14:55:18 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
29 48.8723025819 2.3902636270 14:56:44 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0
30 48.8601356193 2.4043544387 14:57:06 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0
31 48.8685194195 2.3352037268 14:57:27 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0
32 48.8963120770 2.3401020240 15:00:06 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
33 48.8343653161 2.3257273765 15:01:29 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0
34 48.8487415329 2.3898271234 15:01:39 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
35 48.8724767599 2.3516066722 15:02:51 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
36 48.8826356091 2.3611047428 15:04:27 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0
37 48.8706765046 2.4082053485 15:04:38 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0
38 48.8968991327 2.3844137703 15:04:45 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0
39 48.8691735258 2.2947584537 15:05:34 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0
40 48.8732838684 2.3815235768 15:05:44 0 0 0 0 0 0 0 4 0 0 0 0 2 0 0 0 0
41 48.8369516849 2.2962008441 15:05:47 3 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
42 48.8879730238 2.3551823502 15:06:10 0 0 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0
