 lat lon order_time pizza_amount shoarma_amount burger_amount fries_amount snack_amount french_amount spanish_amount italian_amount greek_amount german_amount african_amount mexican_amount argentine_amount indian_amount chinese_amount sushi_amount luxe_amount
0 48.8758649391 2.3608585677 16:33:45 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
1 48.8902799412 2.3274958455 16:34:02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 1 0
2 48.8566821545 2.3153461720 16:42:06 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0
3 48.8828985466 2.3194910930 16:50:10 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0
4 48.8499676778 2.3788176894 16:53:12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0
5 48.8845614235 2.2910054783 16:54:57 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0
6 48.8688355141 2.3351253340 16:57:33 0 0 3 0 0 0 0 2 0 0 0 0 0 0 0 0 0
7 48.8664988835 2.3811803036 17:09:28 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0
8 48.8418105074 2.3235560684 17:17:41 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0
9 48.8662636926 2.3662152289 17:21:05 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0
10 48.8460225281 2.2849062151 17:23:55 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0
11 48.8616349717 2.3061845448 17:24:32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0
12 48.8939176194 2.3388243480 17:28:34 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0
13 48.8634607430 2.3612456019 17:28:53 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0
14 48.8863238534 2.2976070636 17:32:01 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0
15 48.8934472978 2.3399147011 17:33:35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0
16 48.8354043100 2.3272683530 17:36:34 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0
17 48.8781428053 2.4016079368 17:37:56 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0
18 48.8442817159 2.3776414216 17:39:39 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0
19 48.8683352969 2.3566926111 17:43:00 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0
20 48.8559068637 2.4036596824 17:43:31 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0
21 48.8280103302 2.3490077692 17:43:57 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0
22 48.8568180438 2.2705795394 17:44:04 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0
23 48.8729845980 2.3892103850 17:44:55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
24 48.8286460193 2.3328425431 17:45:41 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0
25 48.8905649368 2.3338298490 17:48:38 0 0 0 0 0 2 0 3 0 0 0 0 0 0 0 0 5
26 48.8523387105 2.3369438054 17:49:12 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
27 48.8702224022 2.3892892238 17:50:29 0 0 0 2 0 3 0 0 0 0 0 0 0 0 0 0 0
28 48.8598049341 2.4048151582 17:50:56 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0
29 48.8416903578 2.3315225148 17:51:16 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1
30 48.8402502728 2.3009458439 17:53:20 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0
31 48.8787947962 2.3690076671 17:54:03 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0
32 48.8550214274 2.3289952590 17:54:56 0 0 0 3 0 0 0 0 4 0 0 0 0 0 0 0 0
33 48.8248968193 2.3750575935 17:55:32 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0
34 48.8693375359 2.3757504511 17:55:38 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0
35 48.8383939811 2.3193616750 17:55:40 0 0 0 2 0 4 0 0 0 0 0 0 0 0 0 0 0
36 48.8739622072 2.3953590400 17:56:45 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0
37 48.8574534831 2.3352661774 17:57:11 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
38 48.8404061281 2.2677705891 17:57:46 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0
39 48.8254196166 2.3097049026 17:58:05 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0
40 48.8342857358 2.3189478608 18:00:52 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0
41 48.8352772301 2.2892946640 18:01:52 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0
42 48.8749907001 2.3221284636 18:02:15 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
